probe,face,x,y,z,Cp
195,Barlovento,-0.05340,0.03548,0.31000,0.72559
196,Barlovento,-0.05340,0.03548,0.33000,0.74987
197,Barlovento,-0.05340,0.03548,0.35000,0.77998
198,Barlovento,-0.05340,0.03548,0.37000,0.78728
199,Barlovento,-0.05340,0.03548,0.39000,0.70165
200,Lateral+,-0.04421,0.04642,0.01000,-0.65595
201,Lateral+,-0.04421,0.04642,0.03000,-0.62438
202,Lateral+,-0.04421,0.04642,0.05000,-0.58304
203,Lateral+,-0.04421,0.04642,0.07000,-0.54212
204,Lateral+,-0.04421,0.04642,0.09000,-0.55533
205,Lateral+,-0.04421,0.04642,0.11000,-0.56485
206,Lateral+,-0.04421,0.04642,0.13000,-0.56984
207,Lateral+,-0.04421,0.04642,0.15000,-0.57459
208,Lateral+,-0.04421,0.04642,0.17000,-0.58182
209,Lateral+,-0.04421,0.04642,0.19000,-0.59201
210,Lateral+,-0.04421,0.04642,0.21000,-0.60387
211,Lateral+,-0.04421,0.04642,0.23000,-0.61393
212,Lateral+,-0.04421,0.04642,0.25000,-0.61803
213,Lateral+,-0.04421,0.04642,0.27000,-0.61474
214,Lateral+,-0.04421,0.04642,0.29000,-0.60881
215,Lateral+,-0.04421,0.04642,0.31000,-0.60711
216,Lateral+,-0.04421,0.04642,0.33000,-0.60643
217,Lateral+,-0.04421,0.04642,0.35000,-0.60269
218,Lateral+,-0.04421,0.04642,0.37000,-0.61356
219,Lateral+,-0.04421,0.04642,0.39000,-0.63146
220,Lateral+,-0.02429,0.04817,0.01000,-0.55637
221,Lateral+,-0.02429,0.04817,0.03000,-0.60771
222,Lateral+,-0.02429,0.04817,0.05000,-0.58029
223,Lateral+,-0.02429,0.04817,0.07000,-0.55868
224,Lateral+,-0.02429,0.04817,0.09000,-0.55539
225,Lateral+,-0.02429,0.04817,0.11000,-0.56320
226,Lateral+,-0.02429,0.04817,0.13000,-0.57128
227,Lateral+,-0.02429,0.04817,0.15000,-0.57914
228,Lateral+,-0.02429,0.04817,0.17000,-0.58736
229,Lateral+,-0.02429,0.04817,0.19000,-0.59601
230,Lateral+,-0.02429,0.04817,0.21000,-0.60425
231,Lateral+,-0.02429,0.04817,0.23000,-0.61071
232,Lateral+,-0.02429,0.04817,0.25000,-0.61490
233,Lateral+,-0.02429,0.04817,0.27000,-0.61689
234,Lateral+,-0.02429,0.04817,0.29000,-0.61603
235,Lateral+,-0.02429,0.04817,0.31000,-0.61363
236,Lateral+,-0.02429,0.04817,0.33000,-0.61182
237,Lateral+,-0.02429,0.04817,0.35000,-0.61224
238,Lateral+,-0.02429,0.04817,0.37000,-0.61580
239,Lateral+,-0.02429,0.04817,0.39000,-0.62620
240,Lateral+,-0.00437,0.04991,0.01000,-0.41308
241,Lateral+,-0.00437,0.04991,0.03000,-0.55254
242,Lateral+,-0.00437,0.04991,0.05000,-0.54894
243,Lateral+,-0.00437,0.04991,0.07000,-0.53127
244,Lateral+,-0.00437,0.04991,0.09000,-0.53402
245,Lateral+,-0.00437,0.04991,0.11000,-0.54413
246,Lateral+,-0.00437,0.04991,0.13000,-0.55435
247,Lateral+,-0.00437,0.04991,0.15000,-0.56372
248,Lateral+,-0.00437,0.04991,0.17000,-0.57198
249,Lateral+,-0.00437,0.04991,0.19000,-0.57881
250,Lateral+,-0.00437,0.04991,0.21000,-0.58417
251,Lateral+,-0.00437,0.04991,0.23000,-0.58867
252,Lateral+,-0.00437,0.04991,0.25000,-0.59280
253,Lateral+,-0.00437,0.04991,0.27000,-0.59589
254,Lateral+,-0.00437,0.04991,0.29000,-0.59675
255,Lateral+,-0.00437,0.04991,0.31000,-0.59498
256,Lateral+,-0.00437,0.04991,0.33000,-0.59240
257,Lateral+,-0.00437,0.04991,0.35000,-0.58948
258,Lateral+,-0.00437,0.04991,0.37000,-0.59159
259,Lateral+,-0.00437,0.04991,0.39000,-0.59476
260,Lateral+,0.01556,0.05165,0.01000,-0.35717
261,Lateral+,0.01556,0.05165,0.03000,-0.47292
262,Lateral+,0.01556,0.05165,0.05000,-0.49730
263,Lateral+,0.01556,0.05165,0.07000,-0.48262
264,Lateral+,0.01556,0.05165,0.09000,-0.50006
